flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
9966	2014-03-31	05:59:00		06:01:00		06:15:00		S12	E20	SF	25	\n	
9965	2014-03-30	11:48:00		11:51:00		12:12:00		N09	W43	1B	240	20140330_1137-1224_big.avi\n	
9964	2014-03-30	08:12:00		08:13:00		08:14:00		N12	W37	SF	25	\n	
9963	2014-03-30	06:37:00		06:38:00		06:41:00		N10	W36	SF	25	20140330_0626-0642_big.avi\n	
9962	2014-03-29	14:27:00		14:30:00		14:53:00		N10	W27	1N	150	20140329_1416-1457_big.avi\n	
9961	2014-03-29	13:59:00		14:00:00		14:08:00		N10	W31	SF	20	20140329_1351-1407_big.avi\n	
9960	2014-03-29	13:39:00		13:41:00		13:45:00		S13	E37	SF	35	\n	
9959	2014-03-29	13:18:00		13:19:00		13:24:00		N10	W30	SF	40	20140329_1247-1325_big.avi\n	
9958	2014-03-29	12:42:00		13:03:00		12:54:00		N10	W30	SF	30	20140329_1247-1325_big.avi\n	
9957	2014-03-29	10:56:00		10:57:00		11:00:00		S14	E40	SF	10	20140329_1039-1106_big.avi\n	
9956	2014-03-29	10:49:00		10:51:00		11:04:00		N10	W27	SF	25	20140329_1039-1106_big.avi\n	
9955	2014-03-29	09:54:00		09:57:00		10:07:00		N09	W24	SF	20	20140329_0944-1004_big.avi\n	
9954	2014-03-29	07:52:00		08:01:00		08:13:00		N10	W26	SF	10	20140329_0741-0813_big.avi\n	
9953	2014-03-29	06:14:00	B	06:14:00	B	06:28:00		N11	W27	SF	60	20140329_0603-0619_big.avi\n	
9952	2014-03-25	07:59:00		08:01:00		08:22:00		S14	W28	SF	15	20140325_0742-0841_big.avi\n	
9951	2014-03-24	14:30:00		14:44:00		14:54:00		S12	E14	SF	60	\n	
9950	2014-03-22	09:26:00		09:27:00		09:38:00		N10	E68	SF	60	20140322_0834-1027_big.avi\n	
9949	2014-03-22	08:43:00		09:19:00	B	09:43:00		N12	W40	2F	400	20140322_0834-1027_big.avi\n	
9948	2014-03-22	07:02:00		07:02:00		07:20:00		S10	W69	1B	150	20140322_0648-0710_big.avi\n	
9947	2014-03-21	14:57:00		15:00:00		15:03:00		S10	W62	SF	45	20140321_1448-1520_big.avi\n	
9946	2014-03-21	11:31:00		11:31:00		11:33:00		S13	E55	SF	25	\n	
