flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type
2	1984-01-02	07:49:00	E	07:49:00		07:55:00		N12	W33	SF
3	1984-01-02	08:01:00		08:04:00		08:09:00		N12	W33	SF
4	1984-01-02	08:50:00		08:54:00		08:57:00		N14	W32	SN
5	1984-01-02	11:30:00		11:38:00		11:46:00		N13	W35	SN
6	1984-01-06	09:09:00		09:16:00		09:30:00		S04	E71	SB
7	1984-01-06	11:08:00		11:12:00		11:16:00		S05	E68	SB
8	1984-01-10	09:45:00		09:53:00		10:21:00	D	S06	E20	SB
9	1984-01-11	09:10:00		09:14:00		09:18:00		S15	E68	SN
10	1984-01-11	10:20:00		10:24:00		10:39:00		S15	E68	SN
11	1984-01-12	08:36:00		08:47:00		09:03:00		S16	E50	SF
12	1984-01-12	08:44:00		08:44:00		08:59:00		S06	W04	SF
13	1984-01-12	09:36:00		09:36:00		09:39:00		S17	E41	SF
14	1984-01-13	08:27:00		08:35:00		08:31:00		S17	E42	SF
15	1984-01-13	09:35:00		09:46:00		10:24:00		S24	E20	SN
16	1984-01-13	09:42:00		09:50:00		10:40:00		S19	E28	SN
17	1984-01-14	11:57:00		12:01:00		12:09:00		S14	E10	SB
18	1984-01-15	11:39:00	E	11:39:00	U	11:43:00		S18	E18	SF
19	1984-01-15	12:48:00		12:48:00		13:06:00		S13	W03	SN
20	1984-01-18	13:18:00		13:25:00		13:29:00		S15	W37	SF
21	1984-01-18	13:47:00		13:47:00		14:03:00		S11	W43	SF
22	1984-01-18	14:03:00		14:07:00		14:14:00		S14	W31	SF
23	1984-01-19	08:27:00		08:27:00		08:38:00		S04	E37	SF
24	1984-01-19	10:19:00		10:23:00		10:27:00	D	S06	E42	SF
25	1984-01-20	14:08:00	E	14:08:00	U	14:25:00	D	S17	W62	1F
26	1984-01-26	08:26:00		08:33:00		08:56:00		N19	E09	SF
27	1984-01-26	09:47:00		09:47:00		09:51:00		N14	E21	SN
28	1984-01-26	10:52:00		10:52:00		10:55:00		N10	E34	SF
29	1984-01-26	10:52:00		10:55:00		11:03:00		N11	E20	SF
30	1984-01-26	11:48:00		11:56:00		12:39:00		N15	E08	SN
31	1984-01-26	12:00:00		12:04:00		12:08:00		N13	E13	SN
32	1984-01-27	14:06:00		14:06:00		14:16:00		N14	E03	SN
33	1984-01-27	14:41:00		14:48:00		14:59:00	D	N14	E01	SN
34	1984-01-30	09:14:00	E	09:14:00	U	09:16:00		N14	W39	SN
35	1984-01-30	09:14:00	E	09:14:00	U	09:29:00		N08	W15	SN
36	1984-01-30	10:55:00	E	10:55:00	U	11:01:00	D	N09	W16	SN
37	1984-01-31	08:34:00		08:38:00		08:42:00		N10	W27	SF
38	1984-01-31	09:55:00		09:55:00		09:58:00		N10	W27	SF
39	1984-01-31	10:50:00	E	10:57:00	U	11:59:00	D	N15	W45	SB
40	1984-01-31	11:06:00		11:06:00		11:14:00		N09	W28	SB
41	1984-02-02	09:50:00		09:50:00		10:00:00		N15	W81	SF
42	1984-02-04	09:57:00		09:57:00		10:04:00		N11	W75	SF
43	1984-02-07	08:49:00		08:53:00		09:07:00		S12	E31	SB
44	1984-02-07	09:00:00		09:00:00		09:18:00		S14	E33	SN
45	1984-02-07	13:27:00		13:27:00		13:34:00		S17	E65	SN
46	1984-02-07	14:07:00		14:07:00		14:18:00		S13	E63	SN
47	1984-02-10	10:32:00		10:32:00		10:45:00		S15	W50	SB
48	1984-02-10	11:00:00		11:00:00		11:08:00		S14	E25	SN
49	1984-02-10	12:52:00		12:52:00		13:19:00		S15	E24	SN
50	1984-02-10	14:31:00		14:35:00		14:42:00		S16	W53	SF
51	1984-02-10	14:44:00		14:46:00		14:46:00	D	S11	E27	SN
52	1984-02-11	09:01:00		09:05:00		09:23:00		S10	W22	SN
53	1984-02-11	10:04:00		10:04:00		10:17:00		S14	E15	SF
54	1984-02-11	13:53:00		13:53:00		13:53:00	D	S13	E05	SF
55	1984-02-11	14:25:00		14:25:00		14:49:00		S12	E12	SN
56	1984-02-11	14:29:00		14:29:00		14:33:00		S11	E05	SF
57	1984-02-12	09:16:00		09:19:00		09:38:00		S15	W00	SN
58	1984-02-21	08:02:00		08:05:00		08:17:00		N12	E33	SF
59	1984-02-21	09:03:00		09:06:00		09:12:00		N10	E31	SF
60	1984-02-21	10:42:00		10:49:00		11:04:00		N11	E31	SN
61	1984-02-21	12:13:00		12:17:00		12:45:00		N11	E27	SF
62	1984-02-21	13:31:00		13:31:00		13:35:00		N19	E34	SF
63	1984-02-22	08:23:00	E	08:23:00	U	08:35:00	D	S14	E85	SN
64	1984-03-05	12:18:00		12:31:00		12:51:00		S16	W07	SF
65	1984-03-06	08:08:00		08:08:00		08:11:00	D	S09	E26	SF
66	1984-03-06	09:15:00		09:19:00		09:38:00		S16	E52	SN
67	1984-03-06	12:00:00		12:12:00		12:28:00		S17	E55	SN
68	1984-03-09	12:28:00		12:28:00		12:40:00	D	S13	W00	SF
69	1984-03-09	12:36:00		12:40:00		12:40:00	D	S12	W14	SF
70	1984-03-10	13:44:00		13:44:00		13:52:00		S11	E10	SF
71	1984-03-10	14:35:00		14:35:00		14:46:00		S12	W17	SF
72	1984-03-13	13:11:00		13:15:00		13:34:00		S09	W30	SN
73	1984-03-17	09:31:00	E	09:31:00	U	10:28:00		N08	E60	1F
74	1984-03-17	09:53:00		09:54:00		09:58:00		S06	W42	SF
75	1984-03-17	14:21:00		14:21:00		14:37:00		N13	E48	SF
76	1984-03-17	15:00:00		15:00:00		15:04:00		S04	W42	SN
77	1984-03-18	08:29:00		08:33:00		08:40:00		S05	W52	SF
78	1984-03-18	08:47:00		08:54:00		09:02:00		S04	W52	SF
79	1984-03-18	08:58:00		08:58:00		09:05:00		N16	E50	SF
80	1984-03-18	09:34:00		09:34:00		09:42:00		S05	W52	SF
81	1984-03-18	12:41:00		12:41:00		12:49:00	D	S05	W59	SN
82	1984-03-20	10:47:00		10:51:00		11:38:00		N09	E21	SN
83	1984-03-20	12:30:00		12:30:00		12:48:00		S13	E70	SN
84	1984-03-20	13:14:00		13:17:00		13:33:00		N14	E09	SF
