HESSI Flare List  (generated  5-Sep-2012 16:47)

Total # flares: 66106  Time range: 12-Feb-2002 21:29:56.000 - 31-Jul-2012 14:38:28.000
 
    Flare     Start time        Peak      End      Dur   Peak     Total      Energy X Pos Y Pos Radial   AR          Flags          
                                                     s    c/s    Counts         keV  asec  asec   asec                              

  7040111  1-Apr-2007 22:02:20 22:02:50 22:03:24    64    336     17424         3-6     0     0      0    0  A0 PS                    
  7040706  7-Apr-2007 13:59:16 14:00:34 14:00:40    84     96     19368         3-6     0     0      0    0  A0 GE PE PS Q2           
  7040808  8-Apr-2007 13:56:16 13:57:38 13:57:44    88     84     19272         3-6     0     0      0    0  A0 GE PE PS Q2           
  7040901  9-Apr-2007 00:05:32 00:07:14 00:07:20   108     96     27528         3-6     0     0      0    0  A0 GE PE PS Q2           
  7040910  9-Apr-2007 12:15:16 12:16:26 12:16:32    76     56     11952        6-12   650  -145    666    0  A0 GE P1 PE Q2           
  7040909  9-Apr-2007 19:57:36 19:58:06 20:01:40   244     80     28344         3-6     0     0      0    0  A0 PS                    
  7041001 10-Apr-2007 00:03:20 00:07:58 00:10:36   436    200    321473         3-6     0     0      0    0  a0 a1 A3 EE PE PS Q2     
  7041004 10-Apr-2007 12:12:24 12:13:38 12:13:44    80     80     16656         3-6     0     0      0    0  A0 GE PE PS Q2           
  7041007 10-Apr-2007 22:20:04 22:21:22 22:21:28    84     92     19824         3-6     0     0      0    0  A0 GE PE PS Q2           
  7041101 11-Apr-2007 00:01:08 00:04:22 00:08:32   444     84    130920         3-6     0     0      0    0  A0 PE PS Q1              
  7041115 11-Apr-2007 23:37:36 23:38:06 23:38:44    68    528     27600         3-6     0     0      0    0  A0 DR PS Q1              
  7041211 12-Apr-2007 13:41:16 13:42:06 13:43:16   120    784     85704         3-6     0     0      0    0  A0 PS                    
  7041209 12-Apr-2007 22:15:36 22:17:14 22:17:20   104     92     24768         3-6     0     0      0    0  A0 GE PE PS Q2           
  7041303 13-Apr-2007 10:25:24 10:26:50 10:26:56    92     80     18408         3-6     0     0      0    0  A0 GE PE PS Q2           
  7041309 13-Apr-2007 22:13:24 22:17:26 22:23:20   596    216    402168         3-6     0     0      0    0  A0 PE PS Q1              
  7041409 14-Apr-2007 22:11:12 22:14:34 22:18:36   444     92    142008         3-6     0     0      0    0  A0 PE PS Q1              
  7041508 15-Apr-2007 10:19:32 10:20:50 10:20:56    84     84     17856         3-6     0     0      0    0  A0 GE PE PS Q2           
  7041712 17-Apr-2007 07:53:44 07:55:02 07:57:16   212    112     55440         3-6     0     0      0    0  A0 PS                    
  7041709 17-Apr-2007 20:23:28 20:27:58 20:33:28   600    224    418680         3-6     0     0      0    0  A0 PE PS Q1              
  7041809 18-Apr-2007 20:21:16 20:24:30 20:28:48   452     96    150552         3-6     0     0      0    0  A0 PE PS Q1              
  7041902 19-Apr-2007 10:08:20 10:09:30 10:09:36    76     88     22560         3-6     0     0      0    0  A0 ES GE PE PS Q3        
  7042101 21-Apr-2007 02:20:32 02:21:02 02:24:44   252    104     46656         3-6     0     0      0    0  A0 DR PE PS Q2           
  7042106 21-Apr-2007 18:33:28 18:36:38 18:38:08   280    200    126696         3-6     0     0      0    0  a0 a1 A3 GD GE PE PS Q3  
  7042203 22-Apr-2007 09:09:40 09:10:10 09:10:40    60    112      7272         3-6     0     0      0    0  A0 NS                    
  7042207 22-Apr-2007 18:31:16 18:35:02 18:39:08   472    104    163080        6-12   494   -78    500    0  A0 P1 PE Q1              
  7042424 24-Apr-2007 03:50:44 03:51:30 03:55:24   280    752    259056         3-6     0     0      0    0  A0 DR PS Q1              
  7042425 24-Apr-2007 04:05:04 04:05:26 04:07:16   132     16     10320        6-12  -939  -205    962    0  A0 P1                    
