,Date,Quality Rating, Source Loc.,,Previous Image Time,Image Time,Speed,,Direction of Meas.
,,,N/S,E/W,,,Plane-of-Sky,Projected,
,,,,,,,,,
1,25-Mar-97,Q0,2,-58,01:42:33,01:59:35,,,NW
,,,,,,02:17:28,63,88,
2,01-Apr-97,Q1,-25,-16,05:02:43,05:21:13,,,NW
,,,,,,05:33:56,280,291,
,,,,,,05:43:08,290,301,
3,01-Apr-97,Q1,-25,-16,08:01:51,08:14:29,,,NW
,,,,,,08:23:40,271,272,
,,,,,,08:36:51,231,241,
,,,,,,08:55:21,128,154,
4,01-Apr-97,Q0,-25,-15,10:23:51,10:42:24,,,NW
5,01-Apr-97,Q4,-25,-11,13:45:17,13:58:25,,,NW
,,,,,,14:16:51,231,236,
,,,,,,14:29:30,138,157,
,,,,,,14:38:44,262,359,
6,02-Apr-97,Q0,-24,-6,00:44:13,00:53:31,,,NW
,,,,,,01:06:45,209,216,
7,02-Apr-97,Q0,-21,6,05:22:09,05:35:21,,,SW
8,02-Apr-97,Q0,-21,6,08:56:25,09:09:37,,,SW
,Note: Wavefront is very weak and uneven at 09:09; possible start time is after 09:09 UT,,,,,09:28:08,see note,,
,,,,,,,,,
9,06-Apr-97,Q3,-29,-21,23:36:06,23:48:37,,,NW
,,,,,,23:57:47,184,188,
,,,,,,00:10:55,122,123,
10,07-Apr-97,Q5,-29,-20,13:52:49,14:05:23,,,NW
,,,,,,14:14:34,339,344,
,,,,,,14:27:45,203,223,
,,,,,,14:46:12,152,203,
11,09-Apr-97,Q2,-24,90,11:34:45,11:53:18,,,N
,,,,,,12:05:48,295,396,
12,13-Apr-97,Q1,-30,53,23:05:52,23:14:58,,,N
,,,,,,23:28:00,237,238,
,,,,,,23:46:26,145,off limb,
13,15-Apr-97,Q2,-23,-15,06:33:06,06:47:25, ,,NW
,,,,,,07:11:00,134,136,
14,15-Apr-97,Q3,-23,-13,10:11:28,10:34:21,,,N
,,,,,,10:48:28,256,268,
15,15-Apr-97,Q4,-23,-9,13:58:28,14:16:21,,,N
,,,,,,14:34:45,261,264,
,,,,,,14:49:28,289,334,
,,,,,,15:16:06,76,127,
16,16-Apr-97,Q1,-19,-3,14:16:20,14:34:42,,,NE
17,09-May-97,Q1,20,-29,06:33:25,06:47:41,,,S
,,,,,,07:11:16,59,61,
,,,,,,07:32:45,110,110,
18,10-May-97,Q1,20,-13,13:42:22,13:59:01,,,SW
,,,,,,14:17:57,183,184,
19,12-May-97,Q5,22,8,04:33:30,04:48:49,,,S
,,,,,,05:05:49,244,247,
,,,,,,05:22:49,235,262,
,,,,,,05:39:47,157,225,
20,15-May-97,Q1,22,55,18:26:49,18:43:39,,,S
,,,,,,19:11:14,56,56,
21,25-May-97,Q4,-26,-57,14:16:24,14:33:25,,,NW
,Note: Some initial activity in 14:16 image,,,,,14:51:05,176,194,
,,,,,,15:07:26,250,253,
22,26-May-97,Q2,-27,-35,18:40:35,19:11:14,,,NW
,,,,,,19:24:41,185,190,
23,28-May-97,Q0,-28,-11,12:18:50,12:39:49,,,S
,Note: Some initial activity in 12:18 image,,,,,13:11:27,141,207,
24,09-Jun-97,Q1,-32,90,22:28:44,22:44:00,,,N
,,,,,,23:05:59,205,off limb,
25,14-Jun-97,Q0,19,-14,23:41:11,23:57:27, , ,N
,,,,,,00:14:25,48,52,
,,,,,,00:34:04,29,32,
26,15-Jun-97,Q0,19,-14,03:59:27,04:15:29,,,NW
27,18-Jun-97,Q1,29,-90,01:59:25,02:16:25,,,SW
,,,,,,02:33:58,116,183,
28,23-Jun-97,Q0,-29,-90,06:30:24,06:46:50,,,N
,,,,,,07:10:11,55,off limb,
,,,,,,07:23:54,19,off limb,
29,25-Jun-97,Q2,18,6,23:47:41,00:07:55,,,SE
,,,,,,00:32:42,129,131,
30,25-Jun-97,Q0,18,14,14:02:41,14:22:42,,,SE
,,,,,,14:48:04,61,62,
31,29-Jun-97,Q2,18,85,23:38:13,23:55:13,,,S
,,,,,,00:12:14,229,off limb,
,,,,,,00:31:46,214,off limb,
32,04-Jul-97,Q1,-30,-13,02:51:20,03:08:55,,,SE
,,,,,,03:24:18,100,209,
33,08-Jul-97,Q0,-31,90,11:54:39,12:11:40,,,NW
,,,,,,12:31:13,101,193,
34,30-Jul-97,Q1,-34,-36,17:03:38,17:45:06,,,SE
35,01-Aug-97,Q1,26,20,23:40:39,23:57:39,,,N
36,03-Aug-97,Q2,7,-62,15:57:29,16:16:33,,,SW
,,,,,,16:36:15,76,76,
,,,,,,16:49:28,74,81,
37,05-Aug-97,Q1,-19,-59,20:50:55,21:08:16,,,N
,,,,,,21:29:11,86,off limb,
,,,,,,21:50:12,67,off limb,
38,09-Aug-97,Q2,-34,-21,15:55:59,16:10:03,,,S
,,,,,,16:27:00,53,193,
,,,,,,16:45:00,72,off limb,
39,16-Aug-97,Q0,30,-45,18:25:22,18:38:51,,,W
,,,,,,18:53:52,276,386,
,,,,,,19:11:22,22,26,
40,21-Aug-97,Q0,-38,90,00:46:18,01:09:13,,,N
,,,,,,01:22:57,321,off limb,
41,25-Aug-97,Q1,20,-37,00:46:01,01:09:24,,,N
,,,,,,01:23:06,33,35,
42,25-Aug-97,Q1,20,30,11:55:23,12:11:53,,,SE
,,,,,,12:28:54,71,74,
43,26-Aug-97,Q0,17,-17,09:56:11,10:13:10,,,S
,,,,,,10:30:10,46,46,
44,29-Aug-97,Q2,20,6,04:33:03,04:57:57,,,NW
,,,,,,05:19:51,82,104,
45,29-Aug-97,Q0,-23,-16,05:58:03,06:16:08,,,W
,,,,,,06:34:14,264,308,
46,29-Aug-97,Q1,31,-17,23:24:10,23:40:45,,,NE
,,,,,,23:57:56,61,111,
,,,,,,00:15:10,58,37,
47,08-Sep-97,Q0,-28,6,19:39:11,19:51:04,,,NW
,,,,,,20:05:59,69,78,
,,,,,,20:27:45,132,160,
48,09-Sep-97,Q2,40,90,19:13:21,19:26:22,,,S
,,,,,,19:44:34,151,off limb,
,,,,,,20:00:04,152,off limb,
,,,,,,20:18:16,153,off limb,
