flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
20788	2015-06-07	11:46:00		11:51:00		12:02:00		N15	W00	SF	35	20150607_1137-1154_big.avi	
20787	2015-06-07	10:24:00		10:34:00		11:01:00		N07	E34	SF	45	20150607_1014-1147_big.avi	
20786	2015-06-07	09:10:00		09:14:00		09:25:00		N15	E33	SF	15		
20785	2015-06-07	09:03:00		09:04:00		09:11:00		N15	E04	SF	30		
20784	2015-06-07	07:30:00		07:30:00		07:37:00		S05	E57	SF	30		
20783	2015-06-06	08:03:00		08:06:00		08:07:00		N15	E46	SF	25	20150606_0753-0808_big.avi	
20782	2015-06-06	06:51:00		06:57:00		07:24:00		N18	E47	SF	30	20150606_0651-0722_big.avi	
20781	2015-06-05	09:26:00		09:41:00		10:00:00		N15	E58	SF	15	20150605_0922-1003_big.avi	
20780	2015-06-05	08:19:00		08:21:00		08:25:00		N15	E58	SF	15	20150605_0809-0840_big.avi	
18121	2015-01-02	08:38:00		08:49:00		09:03:00		S09	W37	SF	35	20150102_0836-0901_big.avi	
18122	2015-01-02	08:56:00		08:57:00		09:01:00		S05	E35	SF	15	20150102_0846-0903_big.avi	
18123	2015-01-02	09:50:00		09:53:00		09:56:00	U	S05	E30	SF	30		
18124	2015-01-02	11:22:00		11:35:00		11:47:00	D	S07	E33	SF	35		
18125	2015-01-03	09:42:00		09:47:00		10:06:00		S05	E16	1N	150	20150103_0934-1005_big.avi	
18126	2015-01-03	10:23:00		10:41:00		11:01:00		S05	E15	SF	40		
18127	2015-01-03	11:24:00		11:25:00		11:30:00		S05	E15	SF	15		
18128	2015-01-03	12:35:00		12:44:00		12:54:00		S05	E14	SF	70		
18129	2015-01-03	13:16:00	U	13:47:00	U	13:51:00	D	S05	E16	SF	35		
18130	2015-01-04	10:28:00		10:34:00		10:38:00		S04	E04	SF	35		
18131	2015-01-04	11:12:00		11:14:00		11:18:00		S15	E46	SF	20		
18132	2015-01-05	08:20:00		08:21:00		08:44:00		S08	W04	SN	70	20150105_0807-0849_big.avi	
18133	2015-01-05	09:09:00		09:15:00		09:25:00		S05	W10	SF	40	20150105_0857-0934_big.avi	
18134	2015-01-05	10:58:00		11:11:00	U	11:13:00		S04	W08	SF	50	20150105_1048-1229_big.avi	
18135	2015-01-05	11:39:00	B	11:39:00	B	12:01:00		S04	W09	SF	50	20150105_1048-1229_big.avi	
18136	2015-01-06	09:57:00	B	09:57:00	B	10:08:00		S05	W23	SF	40	20150106_0926-0958_big.avi	
18137	2015-01-07	12:00:00	B	12:00:00	B	12:38:00		S06	W38	SF	80		
18138	2015-01-10	10:22:00		10:26:00		10:27:00		S10	E48	SF	20	20150110_1013-1028_big.avi	
18139	2015-01-10	11:15:00		11:28:00		12:07:00		N06	W33	1F	120	20150110_1104-1216_big.avi	
18140	2015-01-12	07:54:00	B	07:54:00	B	07:58:00		S19	W50	SF	50	20150112_0729-0848_big.avi	
18141	2015-01-12	09:08:00		09:12:00		09:22:00		S17	W53	SF	35	20150112_0902-0921_big.avi	
18142	2015-01-12	09:29:00		09:46:00		09:52:00		S18	W52	SF	60	20150112_0935-0952_big.avi	
