HESSI Flare List  (generated 24-Dec-2014 12:31)

Total # flares: 99980  Time range: 12-Feb-2002 21:29:56.000 - 17-Dec-2014 00:53:20.000
 
    Flare     Start time        Peak      End      Dur   Peak     Total      Energy X Pos Y Pos Radial   AR              Flags               
                                                     s    c/s    Counts         keV  asec  asec   asec                                       

 14100101  1-Oct-2014 00:15:04 00:16:46 00:18:28   204     32     13368        6-12  -551  -104    561    0  A0 DF P1 PE Q2                    
 14100102  1-Oct-2014 00:35:44 00:36:34 00:39:24   220     34     14580        6-12   854  -284    900    0  A0 DF DR P1 PE Q3                 
 14100103  1-Oct-2014 00:40:28 00:47:14 01:00:08  1180   1008   1248360       12-25   822  -259    862    0  A0 DF DR P1 PE Q3                 
 14100105  1-Oct-2014 01:46:28 01:46:58 01:55:48   560     81     68544        6-12   840  -274    884    0  A0 DF P1 PE Q2                    
 14100110  1-Oct-2014 01:55:48 01:57:14 02:00:28   280      1       578        6-12   843  -272    886    0  A0 DF P1 PE Q2                    
 14100107  1-Oct-2014 02:13:32 02:15:06 02:20:32   420      5      2615       12-25   843  -288    891    0  A0 DF DR P1 PE Q3                 
 14100108  1-Oct-2014 02:25:08 02:26:14 02:29:52   284      1       804        6-12   841  -273    884    0  A0 DF DR P1 PE Q3                 
 14100109  1-Oct-2014 02:33:36 02:44:38 02:48:08   872    136     92464       25-50   847  -252    884    0  a0 A1 DF EE P1 PE Q3              
 14100111  1-Oct-2014 03:21:12 03:22:02 03:39:24  1092     56     88153        6-12   838  -294    889    0  a0 A1 ES P1 PE Q2                 
 14100112  1-Oct-2014 03:39:24 03:41:02 03:47:24   480     20     22347        6-12   880  -321    937    0  A0 a1 DF DR P1 PE Q3              
 14100113  1-Oct-2014 03:47:24 03:48:42 04:16:36  1752     17     38837       12-25   864  -309    918    0  A0 DF DR P1 PE Q3                 
 14100114  1-Oct-2014 04:18:48 04:19:34 04:22:04   196      4      1751         3-6     0     0      0    0  A0 DF PE PS Q2                    
 14100115  1-Oct-2014 04:56:24 04:57:06 04:59:16   172    176     63180        6-12   876  -300    926    0  A0 P1 PE Q1                       
 14100116  1-Oct-2014 04:59:16 05:18:26 05:27:04  1668   2482   3218636       12-25   876  -261    914    0  A0 DF DR P1 PE Q3                 
 14100117  1-Oct-2014 05:27:04 05:28:58 05:36:48   584    631    326424       12-25   860  -288    907    0  A0 DF DR P1 PE Q3                 
 14100118  1-Oct-2014 05:36:48 05:40:10 05:51:40   892    983    578441       12-25   862  -294    911    0  A0 DF DR P1 PE Q3                 
 14100119  1-Oct-2014 06:31:20 06:33:22 06:40:32   552    944    361380       12-25   892   300    942    0  A0 P1 PE Q1                       
 14100120  1-Oct-2014 06:40:32 06:41:58 06:45:04   272     52     24504        6-12   860  -285    906    0  A0 P1 PE Q1                       
 14100121  1-Oct-2014 06:50:28 06:51:50 06:54:56   268     84     32496        6-12   862  -288    909    0  A0 P1 PE Q1                       
 14100122  1-Oct-2014 06:58:40 07:00:42 07:02:36   236    136     46704        6-12   866  -249    901    0  A0 DR P1 PE Q2                    
 14100123  1-Oct-2014 07:02:36 07:05:02 07:09:44   428    232    139656        6-12   873  -253    909    0  A0 DR P1 PE Q2                    
 14100124  1-Oct-2014 07:09:44 07:12:10 07:16:56   432     96     73488        6-12   877  -290    924    0  A0 DR P1 PE Q2                    
 14100125  1-Oct-2014 07:16:56 07:18:30 07:20:48   232    100     26760        6-12   864  -288    911    0  A0 P1 PE Q1                       
 14100126  1-Oct-2014 08:40:16 08:40:54 08:45:12   296     60     41640        6-12  -931  -462   1039    0  A0 DR P1 PE Q2                    
 14100127  1-Oct-2014 08:49:32 08:53:42 08:57:56   504    100     91872        6-12   837  -320    897    0  A0 DR P1 PE Q2                    
 14100128  1-Oct-2014 08:57:56 09:02:30 09:07:40   584    464    311664       12-25  -475  -136    494    0  A0 P1 PE Q1                       
 14100129  1-Oct-2014 09:41:44 09:42:18 09:49:40   476     60     49044        6-12   860  -275    903    0  A0 P1 PE Q1                       
 14100130  1-Oct-2014 10:24:48 10:26:30 10:32:40   472    256    111432        6-12   864  -248    899    0  A0 DR P1 PE Q2                    
 14100131  1-Oct-2014 10:32:40 10:38:22 10:42:20   580     76     82704        6-12   893  -273    934    0  A0 P1 PE Q1                       
 14100132  1-Oct-2014 11:16:28 11:17:26 11:22:48   380    120     63024        6-12   882  -277    924    0  A0 P1 PE Q1                       
 14100134  1-Oct-2014 11:22:48 11:24:22 11:25:28   160     52     19104        6-12   891  -251    926    0  A0 GE P1 PE Q2                    
 14100135  1-Oct-2014 11:57:08 11:57:14 12:04:56   468    352    238224       12-25   897  -256    933    0  A0 DR GS P1 PE Q3                 
 14100136  1-Oct-2014 12:04:56 12:05:38 12:10:24   328     76     43584        6-12   891  -254    927    0  A0 P1 PE Q1                       
 14100137  1-Oct-2014 12:51:16 12:52:26 12:54:20   184    560    192108       12-25   904  -245    937    0  A0 ES P1 PE Q2                    
 14100138  1-Oct-2014 12:54:20 13:00:54 13:04:16   596   2416   2351328       12-25   895  -244    928    0  A0 GE P1 PE Q2                    
 14100139  1-Oct-2014 13:35:24 13:43:38 13:52:52  1048    480    704064       12-25   900  -245    933    0  A0 GS P1 PE Q2                    
 14100140  1-Oct-2014 14:36:20 14:41:38 14:45:20   540   1008    624000       12-25   882  -289    929    0  A0 P1 PE Q1                       
 14100141  1-Oct-2014 14:45:20 14:46:50 14:47:12   112    528    123072       12-25   897  -285    941    0  A0 GE P1 PE Q2                    
 14100142  1-Oct-2014 15:14:12 15:14:18 15:20:48   396     88     63816        6-12   909  -282    952    0  A0 GS P1 PE Q2                    
 14100143  1-Oct-2014 15:20:48 15:23:54 15:27:24   396     76     61968        6-12   911  -285    955    0  A0 P1 PE Q1                       
