Magnetic storm list (all storms)
Minimum Dst time   Dst duration    Start time         End time
YYYY  MM  DD  HH    nT dd hh   YYYY  MM  DD  HH   YYYY  MM  DD  HH
1992   1   8  19   -51  0 16   1992   1   8   9   1992   1   9   1
1992   1  11  21   -93  1 11   1992   1  10  22   1992   1  12   9
1992   1  13  13   -71  0 23   1992   1  13   2   1992   1  14   1
1992   2   3   8  -184  5 10   1992   2   1  14   1992   2   7   0
1992   2   7  13   -69  1  3   1992   2   7   2   1992   2   8   5
1992   2   9   8  -215  5 16   1992   2   8   6   1992   2  13  22
1992   2  26  22  -193 11 15   1992   2  20  10   1992   3   3   1
1992   3  16  21   -53  0 12   1992   3  16  16   1992   3  17   4
1992   3  21  18   -77  4 14   1992   3  21  14   1992   3  26   4
1992   3  30   0   -63  2 11   1992   3  28  20   1992   3  31   7
1992   4   3  16  -115  2 15   1992   4   3   7   1992   4   5  22
1992   4   6   7   -62  0 17   1992   4   6   4   1992   4   6  21
1992   4  20   5   -64  1 17   1992   4  19  14   1992   4  21   7
1992   5   8  18   -73  1  4   1992   5   8   0   1992   5   9   4
1992   5  10  14  -297  6 21   1992   5  10   3   1992   5  17   0
1992   5  19  20   -62  1 11   1992   5  18  21   1992   5  20   8
1992   5  22  16  -111  2  8   1992   5  22   6   1992   5  24  14
1992   6   8   5   -91  2  7   1992   6   7  21   1992   6  10   4
1992   6  11  21   -71  0 17   1992   6  11  14   1992   6  12   7
1992   6  12  15   -52  0 12   1992   6  12  14   1992   6  13   2
1992   6  18  21   -87  0 15   1992   6  18  19   1992   6  19  10
1992   6  29   5   -54  0 12   1992   6  29   4   1992   6  29  16
1992   6  30   3   -98  1 13   1992   6  29  18   1992   7   1   7
1992   7  22  19   -75  1  3   1992   7  22   7   1992   7  23  10
1992   8   5   8   -81  0 16   1992   8   5   3   1992   8   5  19
1992   8   8   7   -56  0 19   1992   8   8   5   1992   8   9   0
1992   8  23   2  -113  1  8   1992   8  23   0   1992   8  24   8
1992   9   3   7   -75  2 16   1992   9   3   6   1992   9   5  22
1992   9   9  13  -135  3 15   1992   9   9  10   1992   9  13   1
1992   9  17   9  -141  2  5   1992   9  17   2   1992   9  19   7
1992   9  22   3   -68  0 13   1992   9  21  22   1992   9  22  11
1992   9  29  11  -116  5 10   1992   9  28  21   1992  10   4   7
1992  10   9  15   -77  0 15   1992  10   9  11   1992  10  10   2
1992  10  12  11   -88  1 21   1992  10  11  12   1992  10  13   9
1992  10  27  16   -54  1 12   1992  10  27   7   1992  10  28  19
1992  10  29  18   -63  2  6   1992  10  28  20   1992  10  31   2
1992  11   2   6   -74  0 16   1992  11   1  23   1992  11   2  15
1992  11   3   7   -70  0 15   1992  11   3   3   1992  11   3  18
1992  11   4  16   -68  2  0   1992  11   3  20   1992  11   5  20
1992  11   6  14   -53  1 14   1992  11   5  22   1992  11   7  12
1992  11   9  15   -98  0 16   1992  11   9   7   1992  11   9  23
1992  11  10   6   -51  0 13   1992  11  10   2   1992  11  10  15
1992  11  23   5   -77  0 23   1992  11  23   0   1992  11  23  23
1992  12   1   9   -54  0 20   1992  11  30  15   1992  12   1  11
1992  12  17  20   -67  0 18   1992  12  17  17   1992  12  18  11
1992  12  29   6  -108  2  7   1992  12  28  14   1992  12  30  21
1993   2   1   0   -82  1  6   1993   1  31   8   1993   2   1  14
1993   2   1  23   -52  0 18   1993   2   1  15   1993   2   2   9
1993   2   8   7   -62  0 18   1993   2   7  18   1993   2   8  12
1993   2  17  15  -108  1 20   1993   2  17  13   1993   2  19   9
1993   2  20   8   -53  0  5   1993   2  20   6   1993   2  20  11
1993   3   4   1   -59  0 16   1993   3   3  19   1993   3   4  11
1993   3   7   7   -59  0 23   1993   3   7   5   1993   3   8   4
1993   3   9   6  -138  2  3   1993   3   9   0   1993   3  11   3
1993   3  11  18  -120  1 18   1993   3  11  10   1993   3  13   4
